threshold,avg_cost
0.01,9222.0
0.02,10368.0
0.03,11032.0
0.04,11686.0
0.05,12192.0
0.060000000000000005,12626.0
0.06999999999999999,12862.0
0.08,13312.0
0.09,13462.0
0.09999999999999999,13636.0
0.11,13898.0
0.12,13972.0
0.13,13948.0
0.14,14226.0
0.15000000000000002,14312.0
0.16,14400.0
0.17,14382.0
0.18000000000000002,14466.0
0.19,14644.0
0.2,14936.0
0.21000000000000002,14926.0
0.22,15010.0
0.23,15600.0
0.24000000000000002,15592.0
0.25,15874.0
0.26,15958.0
0.27,16148.0
0.28,16226.0
0.29000000000000004,16312.0
0.3,16402.0
0.31,16492.0
0.32,16490.0
0.33,16586.0
0.34,16678.0
0.35000000000000003,17074.0
0.36000000000000004,17168.0
0.37,17156.0
0.38,17246.0
0.39,17338.0
0.4,17426.0
0.41000000000000003,17520.0
0.42000000000000004,17608.0
0.43,17698.0
0.44,17894.0
0.45,17886.0
0.46,18172.0
0.47000000000000003,18468.0
0.48000000000000004,18560.0
0.49,18760.0
0.5,18846.0
0.51,18836.0
0.52,18930.0
0.53,18930.0
0.54,19122.0
0.55,19318.0
0.56,19318.0
0.5700000000000001,19514.0
0.5800000000000001,19606.0
0.59,19800.0
0.6,19992.0
0.61,19986.0
0.62,19986.0
0.63,20084.0
0.64,20282.0
0.65,20376.0
0.66,20470.0
0.67,20666.0
0.68,20764.0
0.6900000000000001,20962.0
0.7000000000000001,21154.0
0.7100000000000001,21252.0
0.72,21346.0
0.73,21644.0
0.74,21640.0
0.75,21732.0
0.76,21826.0
0.77,21918.0
0.78,22216.0
0.79,22810.0
0.8,22804.0
0.81,23098.0
0.8200000000000001,23196.0
0.8300000000000001,23194.0
0.8400000000000001,23394.0
0.85,23888.0
0.86,24384.0
0.87,24678.0
0.88,25068.0
0.89,25566.0
0.9,26160.0
0.91,26956.0
0.92,27254.0
0.93,28038.0
0.9400000000000001,28528.0
0.9500000000000001,29120.0
0.9600000000000001,29998.0
0.97,32076.0
0.98,34164.0
0.99,36848.0
